risk_score,wallet
996.78,
750.0,
740.0,
996.2,
946.87,
956.86,
757.14,
762.5,
740.0,
996.9,
948.05,
990.53,
750.0,
996.9,
725.0,
995.99,
985.72,
962.08,
927.78,
740.0,
750.0,
996.93,
996.26,
740.0,
740.0,
750.0,
996.92,
996.91,
985.59,
939.12,
996.92,
925.0,
948.77,
956.08,
992.99,
462.5,
945.0,
966.54,
974.83,
948.68,
994.51,
740.0,
996.74,
995.7,
981.1,
940.0,
949.02,
945.0,
996.92,
740.0,
740.0,
969.89,
973.15,
862.5,
740.0,
740.0,
981.16,
740.0,
962.34,
987.88,
840.0,
750.0,
982.76,
949.84,
991.03,
971.73,
873.33,
750.0,
989.03,
875.0,
976.81,
740.0,
995.01,
689.75,
939.9,
996.77,
974.75,
916.67,
949.62,
974.28,
995.87,
976.73,
996.74,
996.3,
935.71,
750.0,
757.14,
921.43,
757.14,
960.22,
996.95,
740.0,
975.57,
966.25,
949.75,
995.99,
996.12,
740.0,
679.77,
915.0,
740.0,
978.45,
740.0,
